CE_train,CE_val,accuracy_train,accuracy_val
2.036380451081015952e+00,1.995116994857788040e+00,7.155454545454545956e-01,7.730000000000000204e-01
1.980365322043678988e+00,1.976900259017944306e+00,7.875272727272727424e-01,7.823999999999999844e-01
1.966780231527848644e+00,1.964234054565429766e+00,7.984909090909091400e-01,7.977999999999999536e-01
1.956442321170460019e+00,1.955342323303222551e+00,8.028545454545454874e-01,8.032000000000000250e-01
1.947607060207020124e+00,1.946550067901611225e+00,8.032545454545454433e-01,7.982000000000000206e-01
1.939083952314203385e+00,1.938289072990417417e+00,8.067454545454545434e-01,8.080000000000000515e-01
1.931314981859380442e+00,1.929815432071685821e+00,8.094181818181818144e-01,8.027999999999999581e-01
1.924930470414595085e+00,1.925871789932251055e+00,8.113636363636363980e-01,7.970000000000000417e-01
1.920571542063626458e+00,1.921506707668304337e+00,8.122000000000000330e-01,8.129999999999999449e-01
1.916940119153803135e+00,1.917347204685211137e+00,8.138909090909091093e-01,8.064000000000000057e-01
