CE_train,CE_val,accuracy_train,accuracy_val
2.026149015443975188e+00,1.976295386314392166e+00,6.966363636363636092e-01,7.598000000000000309e-01
1.954368401111256093e+00,1.944903993129730280e+00,7.877272727272727204e-01,7.892000000000000126e-01
1.932176925347068197e+00,1.927473927497863837e+00,8.043090909090908625e-01,8.074000000000000066e-01
1.919770859700983268e+00,1.918410094261169485e+00,8.114545454545454284e-01,8.162000000000000366e-01
1.911985274783047695e+00,1.911945361614227235e+00,8.146909090909091322e-01,8.110000000000000542e-01
1.906370384424382891e+00,1.906745726585388212e+00,8.185636363636363821e-01,8.212000000000000410e-01
1.902147896523909143e+00,1.901731278896331867e+00,8.206545454545454144e-01,8.149999999999999467e-01
1.899021813982183282e+00,1.900397430896759055e+00,8.204545454545454364e-01,8.054000000000000048e-01
1.896814384148337584e+00,1.898544216632843007e+00,8.217454545454545567e-01,8.264000000000000234e-01
1.894882797015797093e+00,1.896154973506927410e+00,8.229818181818181477e-01,8.137999999999999678e-01
