train_l_rec,train_l_en,train_l_eff,loss_train,val_l_rec,val_l_en,val_l_eff,loss_val
2.850607938089931716e-08,2.340405375909195285e-01,0.000000000000000000e+00,3.318689018698917569e-05,2.743488849882361982e-08,2.266487581065938506e-01,0.000000000000000000e+00,3.196786369526422798e-05
2.840407596783898138e-08,2.329711991586664865e-01,0.000000000000000000e+00,3.306349981260964694e-05,2.734249248955528710e-08,2.259122670828541679e-01,0.000000000000000000e+00,3.186073799837156427e-05
2.830752080785690280e-08,2.321277297000640949e-01,0.000000000000000000e+00,3.295007507613515645e-05,2.726053849041271715e-08,2.252736334936528140e-01,0.000000000000000000e+00,3.176601085560602636e-05
2.821869233804618447e-08,2.313546108475117713e-01,0.000000000000000000e+00,3.284578451712150127e-05,2.718798672553556089e-08,2.240499903129626047e-01,0.000000000000000000e+00,3.166898642132453487e-05
2.813807236395229624e-08,2.305200889801928277e-01,0.000000000000000000e+00,3.274847411469041132e-05,2.714439488372562169e-08,2.236855173412757580e-01,0.000000000000000000e+00,3.161810530435081850e-05
2.806129380129279723e-08,2.297985554694620958e-01,0.000000000000000000e+00,3.265726510303785900e-05,2.708681000452583462e-08,2.233726055938986266e-01,0.000000000000000000e+00,3.155426213796297798e-05
2.798970935526973970e-08,2.291939056186533819e-01,0.000000000000000000e+00,3.257358732806674357e-05,2.698259418430472152e-08,2.222679632751247414e-01,0.000000000000000000e+00,3.142795317159388202e-05
2.792253173998684973e-08,2.285601894166678083e-01,0.000000000000000000e+00,3.249373553938958404e-05,2.694804076089106336e-08,2.222336777780629380e-01,0.000000000000000000e+00,3.139271398197971297e-05
2.786324790983200511e-08,2.279192698853356458e-01,0.000000000000000000e+00,3.242163312649835844e-05,2.688160634174373976e-08,2.214032962352414646e-01,0.000000000000000000e+00,3.130967207319291606e-05
2.780129092776175004e-08,2.274549524667166533e-01,0.000000000000000000e+00,3.235038974977555806e-05,2.685193205340073158e-08,2.207493550038036045e-01,0.000000000000000000e+00,3.126691879952898110e-05
2.774718493160357478e-08,2.269349887426982404e-01,0.000000000000000000e+00,3.228588449932671343e-05,2.677758841666874593e-08,2.202048980737034145e-01,0.000000000000000000e+00,3.118168611371966364e-05
2.769633380445653400e-08,2.263761986928707892e-01,0.000000000000000000e+00,3.222385746874173511e-05,2.665416071260574773e-08,2.196255018816718474e-01,0.000000000000000000e+00,3.104667063515863305e-05
2.764298883517124766e-08,2.260155186597218036e-01,0.000000000000000000e+00,3.216329909563099023e-05,2.667137518436660892e-08,2.186921950005277782e-01,0.000000000000000000e+00,3.104521898951387185e-05
2.759455157622926369e-08,2.255003840557293637e-01,0.000000000000000000e+00,3.210455918057721124e-05,2.659030963347009461e-08,2.187692773870275054e-01,0.000000000000000000e+00,3.096569523648535826e-05
2.755159045803165256e-08,2.250746753233582309e-01,0.000000000000000000e+00,3.205308400668270644e-05,2.657153464346858456e-08,2.184409236983407832e-01,0.000000000000000000e+00,3.094035256956114370e-05
2.750867628262011087e-08,2.247460374572892161e-01,0.000000000000000000e+00,3.200359694554340289e-05,2.652576608996448795e-08,2.182583260008051362e-01,0.000000000000000000e+00,3.089093251553175673e-05
2.746947913200124706e-08,2.243236547657675717e-01,0.000000000000000000e+00,3.195595202035084648e-05,2.647484785549744480e-08,2.182908014783376260e-01,0.000000000000000000e+00,3.084066354605528317e-05
2.742871413247553121e-08,2.240158962224846340e-01,0.000000000000000000e+00,3.190903206521433018e-05,2.639328537439648875e-08,2.178093211937554285e-01,0.000000000000000000e+00,3.074947205818658714e-05
2.739434659688723495e-08,2.236806589847942783e-01,0.000000000000000000e+00,3.186795942410617966e-05,2.642993107634060488e-08,2.175570801843570712e-01,0.000000000000000000e+00,3.078107264731373796e-05
