CE_train,CE_val,accuracy_train,accuracy_val
2.034441277538646453e+00,1.993813903808593802e+00,7.208363636363636084e-01,7.752000000000000002e-01
1.976484542985395887e+00,1.971242416381835838e+00,7.897090909090909161e-01,7.822000000000000064e-01
1.960000956864790478e+00,1.957595939159393339e+00,7.978909090909090951e-01,7.975999999999999757e-01
1.949596931301463831e+00,1.949613836765289321e+00,8.018363636363636804e-01,8.022000000000000242e-01
1.941903299349004630e+00,1.941187192916870030e+00,8.051636363636364147e-01,7.982000000000000206e-01
1.934821276248585020e+00,1.935332700729370137e+00,8.079818181818181344e-01,8.067999999999999616e-01
1.929226170834628107e+00,1.928228468418121233e+00,8.094545454545454266e-01,8.027999999999999581e-01
1.924471932029724108e+00,1.925943129539489762e+00,8.100181818181818594e-01,8.004000000000000004e-01
1.921112806008078877e+00,1.922662856578826851e+00,8.129090909090909145e-01,8.145999999999999908e-01
1.918438741822676263e+00,1.918697974681854213e+00,8.138909090909091093e-01,8.030000000000000471e-01
