CE_train,CE_val,accuracy_train,accuracy_val
1.881346997399763632e+00,1.847347095012664697e+00,8.096727272727273217e-01,8.306000000000000050e-01
1.838471523007479513e+00,1.839752311229705839e+00,8.366909090909090407e-01,8.346000000000000085e-01
1.832353615466031149e+00,1.833770243167877290e+00,8.380363636363636903e-01,8.367999999999999883e-01
1.829133568243547003e+00,1.831335094451904233e+00,8.380909090909091086e-01,8.366000000000000103e-01
1.827254428239302175e+00,1.830218661785125711e+00,8.373636363636363100e-01,8.332000000000000517e-01
1.825876952847567569e+00,1.830000083923339904e+00,8.378181818181817953e-01,8.367999999999999883e-01
1.824986635589599615e+00,1.826708001136779780e+00,8.379090909090909367e-01,8.317999999999999838e-01
1.824067114517905486e+00,1.825668400764465238e+00,8.389454545454545498e-01,8.337999999999999856e-01
1.823513603210449308e+00,1.826060768604278461e+00,8.382181818181818622e-01,8.401999999999999469e-01
1.822939623572609635e+00,1.826517002105712884e+00,8.391272727272727217e-01,8.334000000000000297e-01
