train_l_rec,train_l_en,train_l_eff,loss_train,val_l_rec,val_l_en,val_l_eff,loss_val
2.921932004288204671e-08,3.313695375344900551e-01,0.000000000000000000e+00,3.584671059161919227e-05,2.819684001336479645e-08,3.219538602647902259e-01,0.000000000000000000e+00,3.463591680503921735e-05
2.914738973374353907e-08,3.308575333181474898e-01,0.000000000000000000e+00,3.576454020812482016e-05,2.815442589613937631e-08,3.225163451478451071e-01,0.000000000000000000e+00,3.460475263521782351e-05
2.907562662940040625e-08,3.305791500789015958e-01,0.000000000000000000e+00,3.568720934483886022e-05,2.813069412853346520e-08,3.214666145511820283e-01,0.000000000000000000e+00,3.456002644880651142e-05
2.901368187730080124e-08,3.301487865605587935e-01,0.000000000000000000e+00,3.561665726941513568e-05,2.798413731402923141e-08,3.228948693486708432e-01,0.000000000000000000e+00,3.444203454669553482e-05
2.895163027108786017e-08,3.298658175127847092e-01,0.000000000000000000e+00,3.554894646319664033e-05,2.797543599869289983e-08,3.220260777050935608e-01,0.000000000000000000e+00,3.441595737645520740e-05
2.889675037420414144e-08,3.296243160136981265e-01,0.000000000000000000e+00,3.548923651871483602e-05,2.793496514839319800e-08,3.211150056199182368e-01,0.000000000000000000e+00,3.435726498940346344e-05
2.884246664767349677e-08,3.293533595259001689e-01,0.000000000000000000e+00,3.542953376486492425e-05,2.789438737940018444e-08,3.213877311990230856e-01,0.000000000000000000e+00,3.432214182368302724e-05
2.879244165144563709e-08,3.292117601137425353e-01,0.000000000000000000e+00,3.537667674079004917e-05,2.782980131575808142e-08,3.207684864726247920e-01,0.000000000000000000e+00,3.424517080354315862e-05
2.874915630835564923e-08,3.288526606203904801e-01,0.000000000000000000e+00,3.532620940337837233e-05,2.770950335007633982e-08,3.209731273258788486e-01,0.000000000000000000e+00,3.412896579373156500e-05
2.870116934640360425e-08,3.288331102969041519e-01,0.000000000000000000e+00,3.527783122765563686e-05,2.773360169927152766e-08,3.203492243833179765e-01,0.000000000000000000e+00,3.414058618879688606e-05
2.865701708057533118e-08,3.285560330856583389e-01,0.000000000000000000e+00,3.522813762395408488e-05,2.767837008814441594e-08,3.196728225750259389e-01,0.000000000000000000e+00,3.407182645522753632e-05
2.861797513960875176e-08,3.283598124980926514e-01,0.000000000000000000e+00,3.518517127137448631e-05,2.764655117495801210e-08,3.196456089049954929e-01,0.000000000000000000e+00,3.403946343323811173e-05
2.857945104643003707e-08,3.282250968505070476e-01,0.000000000000000000e+00,3.514395270775606139e-05,2.762415003353798622e-08,3.190023231355449962e-01,0.000000000000000000e+00,3.400419675155625184e-05
2.854247166406876798e-08,3.280497943795820381e-01,0.000000000000000000e+00,3.510346735588340338e-05,2.756036348787232290e-08,3.199566451809074397e-01,0.000000000000000000e+00,3.395949649150023389e-05
2.850290800444717872e-08,3.280052892816092136e-01,0.000000000000000000e+00,3.506301359780110731e-05,2.749170846527704271e-08,3.195920047126238894e-01,0.000000000000000000e+00,3.388354852626135300e-05
2.847233296798575652e-08,3.277918065407637305e-01,0.000000000000000000e+00,3.502816898248859638e-05,2.751390417889852659e-08,3.203112811227388224e-01,0.000000000000000000e+00,3.392012946232504997e-05
2.843689895168656355e-08,3.277569195863280216e-01,0.000000000000000000e+00,3.499203743799072944e-05,2.749221974124937410e-08,3.192147099519077602e-01,0.000000000000000000e+00,3.387651384953274024e-05
2.840702587918000379e-08,3.276413556482237754e-01,0.000000000000000000e+00,3.495985279022318526e-05,2.749405163734691792e-08,3.195650479461573101e-01,0.000000000000000000e+00,3.388535264139712003e-05
